N,meshComplexity,renderingMode,repeat,fpsAvg,fps1pcLow,frameTimeMs,mainThreadMs,renderThreadMs,gpuMs,totalReservedMB,gfxReservedMB,gcReservedMB,peakReservedMB,batches,drawCalls,triangles,vertices
5000,High,Baseline,2,46.21,11.69,41.538,41.573,-1.000,42.063,1225.9,269.3,29.3,1228.4,0,0,0,0
5000,High,Baseline,3,33.39,11.85,41.944,41.937,-1.000,42.597,1226.0,269.3,28.9,1227.8,0,0,0,0
10000,High,Baseline,1,17.38,6.00,79.657,79.652,-1.000,80.532,1259.4,289.3,28.8,1261.6,0,0,0,0
10000,High,Baseline,2,25.76,6.29,78.700,78.694,-1.000,79.371,1263.7,289.3,29.1,1266.0,0,0,0,0
10000,High,Baseline,3,20.71,6.09,78.949,78.943,-1.000,79.835,1264.7,289.3,29.0,1265.8,0,0,0,0
100,Low,GPUInstancing,1,1340.60,147.67,0.969,0.964,-1.000,0.792,1192.3,245.6,31.0,1208.8,0,0,0,0
100,Low,GPUInstancing,2,1433.45,754.46,0.706,0.702,-1.000,0.510,1187.6,245.4,32.8,1195.8,0,0,0,0
100,Low,GPUInstancing,3,1432.01,742.99,0.707,0.703,-1.000,0.505,1187.2,245.4,32.3,1192.2,0,0,0,0
500,Low,GPUInstancing,1,1134.77,672.91,0.889,0.885,-1.000,0.616,1192.2,245.4,31.8,1196.4,0,0,0,0
500,Low,GPUInstancing,2,1138.78,672.24,0.886,0.882,-1.000,0.613,1193.9,245.4,33.0,1200.0,0,0,0,0
500,Low,GPUInstancing,3,1139.20,677.36,0.886,0.882,-1.000,0.610,1194.1,245.4,33.3,1199.1,0,0,0,0
1000,Low,GPUInstancing,1,1249.89,291.69,0.853,0.848,-1.000,0.618,1203.2,251.3,32.6,1211.1,3,3,112002,58004
1000,Low,GPUInstancing,2,1340.15,809.24,0.755,0.750,-1.000,0.566,1207.8,253.9,33.4,1213.8,3,3,112002,58004
1000,Low,GPUInstancing,3,1341.46,805.79,0.754,0.749,-1.000,0.568,1207.7,253.9,32.7,1210.8,3,3,112002,58004
5000,Low,GPUInstancing,1,526.67,410.62,1.903,1.899,-1.000,1.335,1211.3,253.9,32.6,1218.4,11,11,560002,290004
